Place,StateCode,Physicians,HealthCosts,WaterQuality,AirQuality
st._florian,al,173,101.4,40,58
st._stephens,al,18,103,73,56
standing_rock,al,73,103.3,80,56
steele,al,32,107.2,81,46
sterrett,al,208,104.5,79,50
stevenson,al,92,102.9,53,66
stewartville,al,9,103.5,60,52
sulligent,al,22,104,47,61
sumiton,al,110,104,80,48
summerdale,al,173,100.8,67,64
susan_moore,al,30,111.8,76,60
sweet_water,al,70,103.1,100,52
sylacauga,al,61,104.9,71,41
sylvan_springs,al,350,104.2,81,39
sylvania,al,61,104.2,86,64
talladega,al,61,104.9,71,43
talladega_springs,al,61,104.9,71,50
tallassee,al,48,105,87,48
tarrant,al,350,104.2,81,25
taylor,al,328,108.2,100,55
theodore,al,209,106.7,60,55
thomaston,al,70,103.1,100,55
thomasville,al,73,102.3,100,55
thorsby,al,27,108.8,88,49
tibbie,al,?,?,?,?
tidmore_bend,al,193,107.7,85,56
tillmans_corner,al,209,106.7,60,54
town_creek,al,39,104.9,40,59
toxey,al,53,108.3,88,55
trafford,al,350,104.2,81,50
triana,al,231,108,1,57
trinity,al,151,103.6,30,53
troy,al,88,102.9,99,50
trussville,al,350,104.2,81,46
tuscaloosa,al,200,103.1,92,25
tuscumbia,al,155,101.7,60,57
tuskegee,al,73,103.4,80,39
twin,al,109,102.4,60,59
underwood-petersville,al,173,101.4,40,55
union,al,59,100.9,100,50
union_grove,al,102,103.2,55,62
union_springs,al,65,102.4,88,48
uniontown,al,41,103.7,100,54
uriah,al,60,102.3,85,59
valley,al,73,103.3,80,52
valley_grande,al,129,103.8,100,52
valley_head,al,61,104.2,86,65
vance,al,200,103.1,92,43
vandiver,al,208,104.5,79,50
vernon,al,22,104,47,59
vestavia_hills,al,350,104.2,81,33
vina,al,82,103,73,64
vincent,al,208,104.5,79,47
vinegar_bend,al,18,103,73,60
vredenburgh,al,60,102.3,85,56
wadley,al,49,103.8,79,44
waldo,al,61,104.9,71,52
walnut_grove,al,193,107.7,85,62
warrior,al,350,104.2,81,50
waterloo,al,173,101.4,40,65
waverly,al,73,103.3,80,52
weaver,al,170,106.9,91,53
webb,al,328,108.2,100,55
wedowee,al,49,103.8,79,56
weogufka,al,9,103.5,60,52
west_blocton,al,27,108.1,100,46
west_end-cobb_town,al,170,106.9,91,48
west_jefferson,al,350,104.2,81,41
west_point,al,129,101.2,53,59
westover,al,208,104.5,79,47
wetumpka,al,48,105,87,44
whatley,al,?,?,?,?
white_hall,al,19,105.1,86.0,53.0
white_plains,al,170,106.9,91.0,56.0
whitesboro,al,193,107.7,85.0,62.0
wilsonville,al,208,104.5,79.0,48.0
wilton,al,208,104.5,79.0,45.0
winfield,al,109,102.4,60.0,59.0
woodland,al,49,103.8,79.0,60.0
woodstock,al,27,108.1,100.0,45.0
woodville,al,92,102.9,53.0,66.0
yellow_bluff,al,45,102.5,100.0,52.0
york,al,61,106.4,88.0,53.0
adak,ak,105,118.4,84.0,86.0
akhiok,ak,202,120.4,29.0,86.0
akiachak,ak,95,113.8,83.0,86.0
akiak,ak,95,113.8,83.0,86.0
akutan,ak,0,118.4,83.0,86.0
alatna,ak,?,?,?,?
alcan_border,ak,59,118.4,84.0,86.0
aleknagik,ak,260,114.9,29.0,86.0
aleneva,ak,?,?,?,?
allakaket,ak,18,118.4,84.0,85.0
ambler,ak,77,118.4,31.0,85.0
