CongressionalDistrict,Branch,Year,Constitutional (0-1),State
MA-01,house,2012,0.0,MA
MA-09,house,2012,0.08,MA
MA-07,house,2012,0.0,MA
MA-03,house,2012,0.0,MA
MA-02,house,2012,0.0,MA
MA-06,house,2012,0.0,MA
MA-05,house,2012,0.0,MA
MD-07,house,2012,0.0,MD
MD-04,house,2012,0.0,MD
MD-05,house,2012,0.0,MD
MD-02,house,2012,0.0,MD
MD-03,house,2012,0.0,MD
MD-08,house,2012,0.0,MD
ME-02,house,2012,0.0,ME
ME-01,house,2012,0.0,ME
MI-05,house,2012,0.0,MI
MI-09,house,2012,0.0,MI
MN-05,house,2012,0.0,MN
MN-04,house,2012,0.0,MN
MN-07,house,2012,0.54,MN
MN-01,house,2012,0.08,MN
MO-03,house,2012,0.0,MO
MO-01,house,2012,0.0,MO
MO-05,house,2012,0.0,MO
MS-02,house,2012,0.0,MS
NC-08,house,2012,0.54,NC
NC-07,house,2012,0.69,NC
NC-04,house,2012,0.0,NC
NJ-06,house,2012,0.0,NJ
NJ-08,house,2012,0.0,NJ
NJ-09,house,2012,0.0,NJ
NM-01,house,2012,0.0,NM
NM-03,house,2012,0.08,NM
NV-01,house,2012,0.23,NV
NY-05,house,2012,0.0,NY
NY-07,house,2012,0.0,NY
NY-04,house,2012,0.0,NY
NY-06,house,2012,0.0,NY
NY-08,house,2012,0.0,NY
OH-09,house,2012,0.0,OH
OK-02,house,2012,0.62,OK
OR-03,house,2012,0.08,OR
OR-01,house,2012,0.0,OR
OR-04,house,2012,0.15,OR
OR-05,house,2012,0.15,OR
PA-04,house,2012,0.38,PA
PA-02,house,2012,0.0,PA
RI-01,house,2012,0.0,RI
RI-02,house,2012,0.0,RI
SC-06,house,2012,0.0,SC
TN-09,house,2012,0.0,TN
TN-05,house,2012,0.15,TN
TX-09,house,2012,0.08,TX
UT-02,house,2012,0.77,UT
VA-08,house,2012,0.08,VA
VA-03,house,2012,0.08,VA
VT-00,house,2012,0.08,VT
WA-01,house,2012,0.0,WA
WA-06,house,2012,0.0,WA
WA-02,house,2012,0.0,WA
WA-07,house,2012,0.08,WA
WA-09,house,2012,0.08,WA
WI-02,house,2012,0.0,WI
WI-03,house,2012,0.0,WI
WI-04,house,2012,0.0,WI
WV-03,house,2012,0.23,WV
N\A,senate,2012,0.12,AK
N\A,senate,2012,0.44,AL
N\A,senate,2012,0.19,AR
N\A,senate,2012,0.44,AZ
N\A,senate,2012,0.38,FL
N\A,senate,2012,0.38,GA
N\A,senate,2012,0.31,IA
N\A,senate,2012,0.62,ID
N\A,senate,2012,0.0,IL
N\A,senate,2012,0.19,IN
N\A,senate,2012,0.31,KS
N\A,senate,2012,0.62,KY
N\A,senate,2012,0.25,LA
N\A,senate,2012,0.0,MA
N\A,senate,2012,0.12,ME
N\A,senate,2012,0.06,MO
N\A,senate,2012,0.25,MS
N\A,senate,2012,0.12,NC
N\A,senate,2012,0.06,ND
N\A,senate,2012,0.12,NE
N\A,senate,2012,0.19,NH
N\A,senate,2012,0.12,NV
N\A,senate,2012,0.25,OH
N\A,senate,2012,0.38,OK
N\A,senate,2012,0.31,PA
N\A,senate,2012,0.56,SC
N\A,senate,2012,0.12,SD
N\A,senate,2012,0.38,TN
N\A,senate,2012,0.38,TX
N\A,senate,2012,0.75,UT
N\A,senate,2012,0.31,WI
N\A,senate,2012,0.44,WY
N\A,senate,2012,0.0,CA
N\A,senate,2012,0.06,CO
N\A,senate,2012,0.0,CT
N\A,senate,2012,0.06,DE
N\A,senate,2012,0.0,HI
N\A,senate,2012,0.0,MD
N\A,senate,2012,0.06,MI
N\A,senate,2012,0.0,MN
N\A,senate,2012,0.0,MT
N\A,senate,2012,0.06,NJ
N\A,senate,2012,0.0,NM
N\A,senate,2012,0.0,NY
N\A,senate,2012,0.0,OR
N\A,senate,2012,0.25,RI
N\A,senate,2012,0.0,VA
N\A,senate,2012,0.0,VT
N\A,senate,2012,0.0,WA
N\A,senate,2012,0.12,WV
AK-00,house,2013,0.0,AK
AL-04,house,2013,0.23,AL
AL-06,house,2013,0.0,AL
AL-01,house,2013,0.12,AL
AL-05,house,2013,0.46,AL
AL-02,house,2013,0.23,AL
AL-03,house,2013,0.23,AL
AR-04,house,2013,0.31,AR
AR-01,house,2013,0.23,AR
AR-02,house,2013,0.15,AR
AR-03,house,2013,0.15,AR
AZ-08,house,2013,0.54,AZ
AZ-04,house,2013,0.31,AZ
AZ-05,house,2013,0.69,AZ
AZ-06,house,2013,0.46,AZ
CA-04,house,2013,0.15,CA
CA-08,house,2013,0.23,CA
CA-01,house,2013,0.06,CA
CA-05,house,2013,0.04,CA
CA-02,house,2013,0.0,CA
CA-03,house,2013,0.03,CA
CO-06,house,2013,0.23,CO
CO-04,house,2013,0.23,CO
CO-05,house,2013,0.46,CO
CO-03,house,2013,0.08,CO
FL-01,house,2013,0.18,FL
FL-04,house,2013,0.0,FL
FL-06,house,2013,0.54,FL
FL-02,house,2013,0.03,FL
FL-07,house,2013,0.23,FL
FL-08,house,2013,0.62,FL
FL-03,house,2013,0.31,FL
GA-01,house,2013,0.43,GA
GA-09,house,2013,0.38,GA
GA-06,house,2013,0.31,GA
GA-08,house,2013,0.23,GA
GA-03,house,2013,0.38,GA
GA-07,house,2013,0.31,GA
IA-04,house,2013,0.38,IA
IA-03,house,2013,0.08,IA
ID-01,house,2013,0.46,ID
ID-02,house,2013,0.15,ID
IL-01,house,2013,0.07,IL
IL-06,house,2013,0.15,IL
IN-05,house,2013,0.08,IN
IN-08,house,2013,0.15,IN
IN-06,house,2013,0.15,IN
IN-04,house,2013,0.15,IN
IN-03,house,2013,0.38,IN
IN-02,house,2013,0.15,IN
IN-09,house,2013,0.0,IN
KS-01,house,2013,0.77,KS
KS-02,house,2013,0.08,KS
KS-04,house,2013,0.38,KS
KS-03,house,2013,0.15,KS
KY-06,house,2013,0.15,KY
KY-02,house,2013,0.15,KY
KY-04,house,2013,0.85,KY
KY-05,house,2013,0.08,KY
KY-01,house,2013,0.08,KY
LA-05,house,2013,0.0,LA
LA-03,house,2013,0.0,LA
LA-06,house,2013,0.23,LA
LA-04,house,2013,0.54,LA
LA-01,house,2013,0.46,LA
MD-01,house,2013,0.31,MD
MI-03,house,2013,1.0,MI
MI-01,house,2013,0.11,MI
MI-04,house,2013,0.08,MI
MI-02,house,2013,0.23,MI
MI-08,house,2013,0.08,MI
MI-06,house,2013,0.08,MI
MI-07,house,2013,0.23,MI
MN-06,house,2013,0.54,MN
MN-02,house,2013,0.08,MN
MN-03,house,2013,0.08,MN
MO-08,house,2013,0.3,MO
MO-06,house,2013,0.31,MO
MO-04,house,2013,0.23,MO
MO-07,house,2013,0.31,MO
MO-03,house,2013,0.23,MO
MO-02,house,2013,0.23,MO
MS-03,house,2013,0.0,MS
MS-01,house,2013,0.31,MS
MS-04,house,2013,0.15,MS
MT-00,house,2013,0.15,MT
NC-06,house,2013,0.15,NC
NC-02,house,2013,0.23,NC
NC-05,house,2013,0.31,NC
NC-01,house,2013,0.15,NC
NC-08,house,2013,0.38,NC
NC-03,house,2013,0.92,NC
NC-09,house,2013,0.23,NC
ND-00,house,2013,0.0,ND
NE-01,house,2013,0.15,NE
NE-03,house,2013,0.23,NE
NE-02,house,2013,0.08,NE
NJ-01,house,2013,0.0,NJ
NJ-05,house,2013,0.38,NJ
NJ-07,house,2013,0.08,NJ
NJ-02,house,2013,0.23,NJ
NJ-03,house,2013,0.08,NJ
NJ-04,house,2013,0.15,NJ
NM-02,house,2013,0.31,NM
NV-02,house,2013,0.15,NV
NV-03,house,2013,0.31,NV
NY-02,house,2013,0.07,NY
NY-01,house,2013,0.02,NY
OH-08,house,2013,0.0,OH
OH-01,house,2013,0.13,OH
OH-07,house,2013,0.15,OH
OH-06,house,2013,0.23,OH
OH-04,house,2013,0.38,OH
OH-05,house,2013,0.23,OH
OH-02,house,2013,0.38,OH
OK-01,house,2013,0.54,OK
OK-04,house,2013,0.0,OK
OK-05,house,2013,0.23,OK
OK-03,house,2013,0.15,OK
OK-02,house,2013,0.38,OK
OR-02,house,2013,0.15,OR
PA-01,house,2013,0.1,PA
PA-08,house,2013,0.0,PA
PA-06,house,2013,0.0,PA
PA-03,house,2013,0.15,PA
PA-07,house,2013,0.08,PA
PA-04,house,2013,0.38,PA
PA-09,house,2013,0.15,PA
PA-05,house,2013,0.08,PA
SC-03,house,2013,0.46,SC
SC-04,house,2013,0.38,SC
SC-05,house,2013,0.46,SC
SC-07,house,2013,0.31,SC
SC-01,house,2013,0.78,SC
SC-02,house,2013,0.23,SC
SD-00,house,2013,0.23,SD
TN-06,house,2013,0.23,TN
TN-07,house,2013,0.23,TN
TN-04,house,2013,0.46,TN
TN-02,house,2013,0.77,TN
TN-08,house,2013,0.31,TN
TN-03,house,2013,0.23,TN
TN-01,house,2013,0.23,TN
TX-06,house,2013,0.31,TX
TX-08,house,2013,0.31,TX
