,City,State,StateCode,Fips,County,Latitude,Longitude,Population,Density,Zip,_merge
6310,blackberry,illinois,il,,,,,,,,left_only
6311,blackhawk,illinois,il,,,,,,,,left_only
6312,blair,illinois,il,,,,,,,,left_only
6314,blandinsville_township,illinois,il,,,,,,,,left_only
6315,blissville,illinois,il,,,,,,,,left_only
6316,bloom,illinois,il,,,,,,,,left_only
6318,bloomingdale_township,illinois,il,,,,,,,,left_only
6320,bloomington_city,illinois,il,,,,,,,,left_only
6321,bloomington_township,illinois,il,,,,,,,,left_only
6322,blount,illinois,il,,,,,,,,left_only
6325,blue_mound_township_(macon_cnty),illinois,il,,,,,,,,left_only
6326,blue_mound_township_(mclean_cnty),illinois,il,,,,,,,,left_only
6327,blue_ridge,illinois,il,,,,,,,,left_only
6328,bluff_springs,illinois,il,,,,,,,,left_only
6329,bluffdale,illinois,il,,,,,,,,left_only
6332,bois_d'arc,illinois,il,,,,,,,,left_only
6334,bolo,illinois,il,,,,,,,,left_only
6335,bond,illinois,il,,,,,,,,left_only
6340,bonpas,illinois,il,,,,,,,,left_only
6341,bonus,illinois,il,,,,,,,,left_only
6343,boone,illinois,il,,,,,,,,left_only
6345,bourbon,illinois,il,,,,,,,,left_only
6347,bourbonnais_township,illinois,il,,,,,,,,left_only
6348,bowdre,illinois,il,,,,,,,,left_only
6350,bowlesville,illinois,il,,,,,,,,left_only
6351,bowling,illinois,il,,,,,,,,left_only
6352,bowling_green,illinois,il,,,,,,,,left_only
6353,boynton,illinois,il,,,,,,,,left_only
6355,braceville_township,illinois,il,,,,,,,,left_only
6357,bradford_township,illinois,il,,,,,,,,left_only
6359,bradley_township,illinois,il,,,,,,,,left_only
6362,breese_township,illinois,il,,,,,,,,left_only
6363,bremen,illinois,il,,,,,,,,left_only
6364,brenton,illinois,il,,,,,,,,left_only
6366,bridgeport_township,illinois,il,,,,,,,,left_only
6369,brighton_township,illinois,il,,,,,,,,left_only
6371,brimfield_township,illinois,il,,,,,,,,left_only
6372,bristol,illinois,il,,,,,,,,left_only
6376,broadwell_township,illinois,il,,,,,,,,left_only
6379,brookfield_township,illinois,il,,,,,,,,left_only
6381,brooklyn_township_(lee_cnty),illinois,il,,,,,,,,left_only
6382,brooklyn_township_(schuyler_cnty),illinois,il,,,,,,,,left_only
