Place,StateCode,County
golovin,ak,nome_census_area
goodnews_bay,ak,bethel_census_area
grayling,ak,yukon-koyukuk_census_area
gulkana,ak,valdez-cordova_census_area
gustavus,ak,hoonah-angoon_census_area
haines,ak,haines_borough
halibut_cove,ak,kenai_peninsula_borough
happy_valley,ak,kenai_peninsula_borough
harding-birch_lakes,ak,fairbanks_north_star_borough
healy,ak,denali_borough
hollis,ak,prince_of_wales-hyder_census_area
holy_cross,ak,yukon-koyukuk_census_area
homer,ak,kenai_peninsula_borough
hoonah,ak,hoonah-angoon_census_area
hooper_bay,ak,wade_hampton_census_area
hope,ak,kenai_peninsula_borough
houston,ak,matanuska-susitna_borough
hughes,ak,yukon-koyukuk_census_area
huslia,ak,yukon-koyukuk_census_area
hydaburg,ak,prince_of_wales-hyder_census_area
hyder,ak,prince_of_wales-hyder_census_area
igiugig,ak,lake_and_peninsula_borough
iliamna,ak,lake_and_peninsula_borough
juneau,ak,juneau_city_and_borough
kachemak,ak,kenai_peninsula_borough
kake,ak,petersburg_census_area
kaktovik,ak,north_slope_borough
kalifornsky,ak,kenai_peninsula_borough
kaltag,ak,yukon-koyukuk_census_area
karluk,ak,kodiak_island_borough
kasaan,ak,prince_of_wales-hyder_census_area
kasigluk,ak,bethel_census_area
kasilof,ak,kenai_peninsula_borough
kenai,ak,kenai_peninsula_borough
kenny_lake,ak,valdez-cordova_census_area
ketchikan,ak,ketchikan_gateway_borough
kiana,ak,northwest_arctic_borough
king_cove,ak,aleutians_east_borough
king_salmon,ak,bristol_bay_borough
kipnuk,ak,bethel_census_area
kivalina,ak,northwest_arctic_borough
klawock,ak,prince_of_wales-hyder_census_area
klukwan,ak,hoonah-angoon_census_area
knik_river,ak,matanuska-susitna_borough
knik-fairview,ak,matanuska-susitna_borough
kobuk,ak,northwest_arctic_borough
kodiak,ak,kodiak_island_borough
kodiak_station,ak,kodiak_island_borough
kokhanok,ak,lake_and_peninsula_borough
koliganek,ak,dillingham_census_area
kongiganak,ak,bethel_census_area
kotlik,ak,wade_hampton_census_area
kotzebue,ak,northwest_arctic_borough
koyuk,ak,nome_census_area
