Place,City,County,StateCode
rainbow_city,rainbow_city,etowah,al
rainsville,rainsville,dekalb,al
ranburne,ranburne,cleburne,al
ray,ray,coosa,al
red_bay,red_bay,franklin,al
red_level,red_level,covington,al
redland,redland,elmore,al
redstone_arsenal,redstone_arsenal,madison,al
reece_city,reece_city,etowah,al
reeltown,reeltown,tallapoosa,al
reform,reform,pickens,al
rehobeth,rehobeth,houston,al
repton,repton,conecuh,al
ridgeville,ridgeville,etowah,al
river_falls,river_falls,covington,al
riverside,riverside,st._clair,al
riverview,riverview,escambia,al
roanoke,roanoke,randolph,al
robertsdale,robertsdale,baldwin,al
rock_creek,rock_creek,jefferson,al
rock_mills,rock_mills,randolph,al
rockford,rockford,coosa,al
rockville,rockville,clarke,al
rogersville,rogersville,lauderdale,al
rosa,rosa,blount,al
russellville,russellville,franklin,al
rutledge,rutledge,crenshaw,al
saks,saks,calhoun,al
samson,samson,geneva,al
sand_rock,sand_rock,cherokee,al
sanford,sanford,covington,al
saraland,saraland,mobile,al
sardis_city,sardis_city,etowah,al
satsuma,satsuma,mobile,al
scottsboro,scottsboro,jackson,al
section,section,jackson,al
selma,selma,dallas,al
selmont-west_selmont,selmont-west_selmont,dallas,al
semmes,semmes,mobile,al
sheffield,sheffield,colbert,al
shelby,shelby,shelby,al
shiloh,shiloh,dekalb,al
shoal_creek,shoal_creek,shelby,al
shorter,shorter,macon,al
silas,silas,choctaw,al
silverhill,silverhill,baldwin,al
sims_chapel,sims_chapel,washington,al
sipsey,sipsey,walker,al
skyline,skyline,jackson,al
slocomb,slocomb,geneva,al
smiths_station,smiths_station,lee,al
smoke_rise,smoke_rise,blount,al
snead,snead,blount,al
somerville,somerville,morgan,al
south_vinemont,south_vinemont,cullman,al
southside,southside,etowah,al
spanish_fort,spanish_fort,baldwin,al
spring_garden,spring_garden,cherokee,al
springville,springville,st._clair,al
spruce_pine,spruce_pine,franklin,al
st._florian,st._florian,lauderdale,al
