Place,StateCode,County
chino_valley,az,yavapai county
chloride,az,mohave county
christopher_creek,az,gila county
chuichu,az,pinal county
cibecue,az,navajo county
cibola,az,la paz county
cienega_springs,az,la paz county
citrus_park,az,maricopa county
clacks_canyon,az,mohave county
clarkdale,az,yavapai county
clay_springs,az,navajo county
claypool,az,gila county
clifton,az,greenlee county
colorado_city,az,mohave county
concho,az,apache county
congress,az,yavapai county
coolidge,az,pinal county
copper_hill,az,gila county
cordes_lakes,az,yavapai county
cornfields,az,apache county
cornville,az,yavapai county
corona_de_tucson,az,pima county
cottonwood,az,yavapai county
cottonwood_cdp,az,apache county
cowlic,az,pima county
